Name	Group	Age	Coverage	Region	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10				
SF_31_Co	Archeo	2059	22.72	Kentucky	-0.0239	-0.0027	-0.0805	0.0505	0.0708	-0.0165	0.0889	0.1145	-0.0122	-0.0143				
SF_32_Cl	Archeo	1665	7.53	Kentucky	0.0024	-0.0098	-0.0891	0.0282	0.0693	0.0076	0.0446	0.0697	0.0064	-0.0238				
SF_35_Cl	Archeo	1716	5.87	Kentucky	-0.0233	-0.0024	-0.0377	0.0383	0.0445	-0.0269	0.0533	0.0497	0.0108	-0.0153				
SF_40_Ma	Archeo	2500	2.13	Ozark	-0.0209	-0.0005	-0.0147	0.0234	0.0304	-0.0159	0.0234	0.0343	-0.0085	-0.003				
SF_42_Ed	Archeo	1718	17.79	Ozark	-0.0955	0.1382	0.1121	-0.1005	-0.0269	0.0435	-0.0725	-0.1277	-0.3834	0.2112				
SF_49_Ed	Archeo	855	27.42	Ozark	-0.062	0.0354	-0.0297	0.0386	0.0742	-0.0383	0.1065	0.1856	0.0022	-0.0721				
SF_50_Ed	Archeo	3081	11.84	Ozark	-0.0619	0.0826	0.048	-0.0187	-0.0062	0.0587	-0.0099	0.0455	-0.0975	-0.0853				
SF_58_Ne	Archeo	3089	12.95	Kentucky	-0.0367	0.0446	-0.0098	0.0083	0.04	-0.0009	-0.0041	0.0605	-0.0168	-0.0451				
SF_64b_B	Archeo	1640	13.35	Ozark	-0.0753	0.0946	0.0295	-0.0641	-0.0268	0.0174	-0.0257	-0.0025	0.0958	-0.0424				
SF_65d_A	Archeo	1795	9.32	Ozark	-0.0552	0.0237	0.0026	-0.0036	0.002	-0.0079	0.0085	0.0022	0.0131	-0.0252				
Anzac_Pueblo	Landrace	0	8	landrace	0.016	-0.1395	-0.1	0.1459	0.0372	-0.0767	0.0288	-0.133	0.0679	0.1763				
Arikara	Landrace	0	8	landrace	0.0771	-0.1237	-0.1162	0.1286	0.0113	-0.1353	0.0108	-0.2689	0.0474	0.4538				
Havasupai	Landrace	0	8	landrace	-0.0222	-0.1425	-0.0375	0.1229	-0.0127	-0.0892	-0.0794	-0.1295	0.0239	0.0403				
Hidatsa1	Landrace	0	8	landrace	0.0082	-0.0591	-0.0618	0.0605	0.0256	-0.0371	0.0195	-0.0568	0.0319	0.0008				
Hopi_dye	Landrace	0	8	landrace	-0.0351	-0.0597	-0.0084	0.0228	-0.0082	-0.0822	-0.0703	-0.0173	-0.0179	-0.0234				
Hopi	Landrace	0	8	landrace	0.0094	-0.1511	-0.1377	0.1644	0.0694	-0.0663	0.0286	-0.1375	0.1137	0.2305				
Laguna_Pueblo	Landrace	0	8	landrace	0.0095	-0.0721	-0.0818	0.0685	0.0167	-0.0365	0.0061	-0.0621	0.0357	0.0353				
Mandan2	Landrace	0	8	landrace	-0.011	-0.1004	-0.0816	0.1154	0.0411	-0.0807	0.0506	-0.0833	0.0521	0.0963				
MexCult14	Landrace	0	8	landrace	0.0056	-0.0488	-0.0519	0.058	0.0187	-0.0345	0.013	-0.0496	0.0171	0.0558				
MexCult15	Landrace	0	8	landrace	0.0008	-0.0462	-0.0443	0.0662	0.0331	-0.0401	0.0354	-0.0237	0.0038	0.0391				
MexCult1	Landrace	0	8	landrace	0.0151	-0.087	-0.0784	0.0943	0.0295	-0.0524	0.0286	-0.0828	0.0286	0.0755				
MexCult3	Landrace	0	8	landrace	-0.0143	-0.0529	-0.0506	0.0744	0.0226	-0.0353	0.0251	-0.032	0.0183	0.0045				
MexCult6	Landrace	0	8	landrace	0.0154	-0.0911	-0.0464	0.0813	0.005	-0.0417	0.0093	-0.0698	0.016	0.0017				
MexCult7	Landrace	0	8	landrace	0.0009	-0.0665	-0.0468	0.0959	0.0171	-0.0488	0.0605	-0.0449	0.0141	0.097				
MexCult9	Landrace	0	8	landrace	0.0056	-0.0661	-0.0629	0.071	0.0311	-0.04	0.0041	-0.0661	0.0247	0.0872				
Pueblo	Landrace	0	8	landrace	-0.0035	-0.0741	-0.065	0.0773	0.0115	-0.0509	0.0112	-0.0609	0.032	0.0299				
Seneca	Landrace	0	8	landrace	0.0014	-0.1165	-0.052	0.1229	0.0258	-0.0586	-0.0294	-0.1242	0.0554	0.0338				
Zuni	Landrace	0	8	landrace	0.0045	-0.1022	-0.0944	0.1033	0.0253	-0.0609	0.0333	-0.1121	0.0543	0.1104				
ann04-nwAR	wild	0	3	wild	-0.0061	-0.147	0.0371	0.0347	-0.1358	-0.3488	-0.7016	0.3743	-0.0615	0.0308				
ann06-seWY	wild	0	3	wild	0.0186	-0.0766	-0.024	0.0624	0.0088	-0.0149	-0.0112	-0.047	0.0074	0.0024				
ann08-ceTN	wild	0	3	wild	-0.0029	-0.0881	-0.0437	0.0716	-0.0091	-0.049	-0.0316	-0.0867	0.0534	-0.0542				
ann20-seAZ	wild	0	3	wild	0.0626	-0.4316	0.3709	-0.5493	0.3665	-0.0809	0.097	0.0079	0.0395	0.0324				
ann44-ccCA	wild	0	3	wild	0.0085	-0.1827	-0.0422	0.0326	-0.0218	-0.0462	-0.1401	-0.3435	-0.191	-0.5649				
annMex_A1516	wild	0	3	wild	0.0351	-0.1822	0.0338	0.0512	-0.2464	0.1637	0.0225	-0.1528	-0.1521	-0.2003				
annMex_A1517	wild	0	3	wild	0.0284	-0.1937	-0.0017	0.0477	-0.2416	0.1542	0.0358	-0.1174	0.0281	-0.129				
annMex_A1572	wild	0	3	wild	0.023	-0.2218	0.0455	-0.031	-0.3282	0.3093	0.0162	0.0357	0.0125	-0.0999				
annMex_A1574	wild	0	3	wild	0.0091	-0.1515	-0.0252	0.0724	-0.1367	0.0958	-0.0049	-0.0998	0.0223	-0.0155				
annMex_Ann261	wild	0	3	wild	0.0348	-0.2353	0.0883	-0.0814	-0.4603	0.4269	0.1102	0.3093	-0.0209	0.2261				
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
